id,category
Minnesota,team
Non-Sanctioned\Layout Pigout 2019,tournament
Jefferson,team
Kenyon,team
Bowdoin,team
SUNY-Geneseo,team
Haverford,team
Bates College,team
Swarthmore,team
Army,team
Muhlenberg,team
Franciscan,team
Catholic,team
Brandeis,team
Bentley,team
Non-Sanctioned\LolaPaLweiston,tournament
Bates College,team
Brandeis,team
Colby,team
Emerson,team
Non-Sanctioned\Mardi Gras XXXII,tournament
Florida,team
Texas State,team
LSU,team
Alabama,team
Wisconsin-Whitewater,team
Texas Tech,team
Minnesota State-Mankato,team
Texas-San Antonio,team
Alabama-Birmingham,team
Texas A&M,team
North Florida,team
Mississippi,team
Texas Christian,team
Georgia State,team
Sul Ross State,team
Florida State,team
Sam Houston State,team
Mississippi State,team
Trinity,team
Non-Sanctioned\Mash-Up 2019,tournament
University of Pittsburgh,team
Campbell,team
New Hampshire,team
SUNY-Fredonia,team
Ohio,team
Delaware,team
Rhode Island,team
North Carolina State,team
Non-Sanctioned\Meltdown 2019,tournament
Marquette,team
Coe,team
Loyola-Chicago,team
Milwaukee School of Engineering,team
Winona State,team
Wisconsin-Whitewater,team
Northern Illinois,team
Illinois State,team
Valparaiso,team
Truman State,team
Olivet Nazarene,team
North Park,team
Carthage College,team
Purdue,team
Wheaton Illinois,team
Illinois-Chicago,team
Grand Valley State,team
Wisconsin-Stout,team
Southern Illinois-Edwardsville,team
Non-Sanctioned\Mid-Atlantic Warmup 2019,tournament
Tennessee-Chattanooga,team
Drexel University,team
William & Mary,team
Case Western Reserve,team
James Madison,team
Davidson,team
Williams,team
Liberty,team
Vermont,team
North Carolina,team
Mary Washington,team
Virginia Commonwealth,team
Richmond,team
George Mason,team
Lehigh,team
SUNY-Binghamton,team
George Washington,team
Non-Sanctioned\Midwest Throwdown 2019,tournament
Marquette,team
Saint Louis University,team
Iowa,team
Wisconsin-Milwaukee,team
St Olaf,team
St John's,team
Missouri State,team
Missouri,team
Northern Iowa,team
Southern Illinois-Edwardsville,team
Wisconsin,team
Non-Sanctioned\Mill City Throwdown 2019,tournament
Massachusetts-Lowell,team
Amherst College,team
Worcester Polytech,team
Bates College,team
Bentley,team
Non-Sanctioned\Millersville Round Robin 2019,tournament
Maryland-Baltimore County,team
West Chester,team
Millersville,team
Non-Sanctioned\Music City Tune-Up 2019,tournament
Middle Tennessee State,team
Belmont,team
Vanderbilt,team
Union Tennessee,team
Vanderbilt University,team
Non-Sanctioned\New Year Fest 2019,tournament
Brigham Young,team
Arizona State,team
Grand Canyon,team
The University of Texas at El Paso,team
Colorado State,team
University of New Mexico,team
Denver,team
Air Force,team
Arizona,team
Northern Arizona,team
Non-Sanctioned\No Sleep 'Till Brooklyn,tournament
SUNY-Binghamton,team
Cornell,team
NYU,team
Hofstra,team
Rowan,team
Columbia,team
SUNY-Stony Brook,team
Marist,team
Tufts,team
Non-Sanctioned\Oak Creek Challenge 2019,tournament
Liberty,team
American,team
Rutgers,team
North Carolina,team
Wake Forest,team
Princeton,team
Towson,team
Shippensburg,team
Maryland-Baltimore County,team
Drexel University,team
Brandeis,team
Salisbury,team
Cedarville,team
Navy,team
Lehigh,team
RIT,team
Christopher Newport,team
West Chester,team
East Carolina,team
Virginia Commonwealth,team
Non-Sanctioned\Oak Creek Invite 2019,tournament
James Madison,team
Delaware,team
Michigan,team
Princeton,team
SUNY-Geneseo,team
Maryland,team
George Mason,team
Cornell,team
Drexel,team
Temple,team
Johns Hopkins,team
SUNY-Buffalo,team
Penn State,team
North Carolina-Charlotte,team
Virginia Tech,team
William & Mary,team
East Carolina,team
Connecticut,team
Williams,team
Georgetown,team
Non-Sanctioned\Old Capitol Open 2019,tournament
Carleton Hot Karls,team
Northwestern-St. Paul,team
Indiana,team
Drake,team
Luther,team
St John's,team
Bethel,team
Cornell College,team
Iowa,team
Nebraska-Omaha,team
Wisconsin- La Crosse,team
Creighton,team
Minnesota,team
Coe,team
Kansas State,team
Chicago,team
Non-Sanctioned\Palouse Open 2019,tournament
Washington State,team
Central Washington,team
Oregon State,team
Idaho,team
Whitworth,team
Portland State,team
Boise State,team
Western Washington University,team
Non-Sanctioned\Presidents' Day Invite 2019,tournament
Western Washington,team
UCLA,team
Oregon,team
California-Santa Cruz,team
Cal Poly-SLO,team
California-San Diego,team
Utah,team
California-Santa Barbara,team
Colorado,team
San Diego State,team
California,team
California-Davis,team
British Columbia,team
Santa Clara,team
Southern California,team
Illinois,team
Non-Sanctioned\Queen City Tune Up 2019 (Men),tournament
Ohio State,team
Dartmouth,team
North Carolina,team
Appalachian State,team
Tennessee,team
Penn State,team
Clemson,team
Maryland,team
Tulane,team
Massachusetts,team
Notre Dame,team
Alabama,team
Carnegie Mellon,team
North Carolina-Charlotte,team
North Carolina State,team
Virginia,team
Ohio,team
Auburn,team
Chicago,team
North Carolina-Wilmington,team
Non-Sanctioned\Royal Crown Classic 2019,tournament
Georgia Southern,team
Columbus State,team
Mississippi State,team
Miami,team
Florida Tech,team
Troy,team
Berry,team
Central Arkansas,team
Non-Sanctioned\Santa Barbara Invite 2019,tournament
California,team
Michigan State,team
Washington,team
Southern California,team
Arizona,team
Cal Poly-SLO,team
California-Santa Cruz,team
Texas-Dallas,team
Western Washington University,team
Dartmouth,team
Stanford,team
California-San Diego,team
Victoria,team
California-Santa Barbara,team
Connecticut,team
Brigham Young,team
British Columbia,team
UCLA,team
Colorado State University,team
Santa Clara,team
Non-Sanctioned\Shamrock Showdown 2019,tournament
Middle Tennessee State,team
Southern Indiana,team
Iowa,team
Ball State,team
Miami Ohio,team
Vanderbilt,team
Arkansas State,team
Missouri,team
Tennessee Tech,team
Northern Illinois,team
Non-Sanctioned\Spring Awakening 8,tournament
Ithaca,team
Colgate,team
Bowdoin,team
Rensselaer Polytech,team
Wentworth,team
Boston University,team
Rhode Island,team
Dickinson,team
Skidmore,team
Army,team
Ursinus,team
Vermont,team
Susquehanna,team
Cornell,team
Saint Joseph's,team
Non-Sanctioned\Stanford Invite 2019,tournament
Victoria,team
Wisconsin,team
North Carolina,team
Stanford,team
Brown,team
Colorado State,team
Carleton College-CUT,team
Washington,team
Brigham Young,team
Northwestern,team
Ohio State,team
California,team
Oregon,team
Cal Poly-SLO,team
Colorado,team
Minnesota,team
Texas,team
Non-Sanctioned\Stanford Open 2019,tournament
Portland,team
Cal Poly-SLO,team
California,team
Duke,team
Cal Poly-Pomona,team
Colorado School of Mines,team
Stanford,team
Washington University,team
Santa Clara,team
San Jose State,team
Texas,team
Whitman,team
Utah State,team
Humboldt State,team
UCLA,team
Whitworth,team
Chico State,team
California-Davis,team
North Texas,team
Arizona,team
Lewis & Clark,team
Las Positas,team
California-Santa Cruz,team
Washington,team
Occidental,team
Sonoma State,team
Air Force,team
Nevada-Reno,team
Sacramento State,team
Oregon,team
Carleton College-GoP,team
Claremont,team
Non-Sanctioned\Strong Island Invitational 2019,tournament
SUNY-Albany,team
Massachusetts-Lowell,team
SUNY-Stony Brook,team
Syracuse,team
Hofstra,team
Northeastern,team
Non-Sanctioned\T-Town Throwdown,tournament
Kennesaw State,team
Illinois State,team
Auburn,team
Alabama,team
LSU,team
Kentucky,team
Illinois,team
Alabama-Huntsville,team
Mississippi State,team
Vanderbilt,team
Georgia State,team
Alabama-Birmingham,team
Mississippi,team
Southern Mississippi,team
Non-Sanctioned\Tally Classic XIV,tournament
Notre Dame,team
Georgia Southern,team
Alabama-Huntsville,team
Central Florida,team
Florida State,team
Tennessee-Chattanooga,team
Minnesota-Duluth,team
Auburn,team
Alabama,team
Cincinnati,team
Tennessee,team
Mississippi State,team
Georgia State,team
Clemson,team
Harvard,team
Tulane,team
Non-Sanctioned\Tea Cup 2019,tournament
Amherst College,team
Tufts,team
Yale,team
SUNY-Oneonta,team
Columbia,team
Hartford,team
Boston College,team
Worcester Polytech,team
Northeastern,team
Wentworth,team
Connecticut,team
University of Massachusetts Amherst,team
Rutgers,team
SUNY Oneonta,team
Southern Connecticut State,team
Non-Sanctioned\Tech Tour 2019,tournament
Michigan Tech,team
St. Thomas,team
Macalester,team
Non-Sanctioned\The Mightiest Huck 2019,tournament
University of Massachusetts Amherst,team
Sacred Heart,team
Stonehill,team
Massachusetts,team
Yale,team
Southern Connecticut State,team
Non-Sanctioned\Towson Cup 2019,tournament
St Mary's Maryland,team
Maryland-Baltimore County,team
SUNY-Oneonta,team
Towson,team
Lancaster Bible,team
American,team
Delaware,team
SUNY Oneonta,team
Non-Sanctioned\Trouble in Vegas 2019,tournament
Southern California,team
Florida,team
Nevada-Reno,team
Chico State,team
Montana State,team
California-Irvine,team
Northern Arizona,team
Cal Poly-Pomona,team
Wisconsin-Oshkosh,team
Colorado Mesa,team
San Diego State,team
Occidental,team
New Mexico,team
Colorado-Denver,team
Utah State,team
Cal State-Fullerton,team
Miami,team
Cal State-Long Beach,team
Boise State,team
Arizona,team
Cal Poly-SLO,team
California,team
California-San Diego,team
Arizona State,team
Colorado School of Mines,team
Ottawa Arizona,team
UCLA,team
Utah,team
Non-Sanctioned\Ugly Dome I 2019,tournament
Macalester,team
Minnesota,team
Carleton Hot Karls,team
Winona State,team
Bethel,team
Non-Sanctioned\Ugly Dome II 2019,tournament
Wisconsin- La Crosse,team
Wisconsin-Eau Claire,team
Minnesota,team
Drake,team
St. Thomas,team
Wisconsin,team
Non-Sanctioned\Uprising 8,tournament
Colgate,team
Rochester,team
Williams,team
Amherst Regional,team
Rensselaer Polytech,team
SUNY-Buffalo,team
Siena,team
Maine,team
SUNY-Binghamton,team
Ithaca,team
Emerson,team
Skidmore,team
Non-Sanctioned\Virginia Showcase Series 2019,tournament
Non-Sanctioned\Virginia Showcase Series,tournament
William & Mary,team
Richmond,team
